iter	RMSE
0	14.72920471
1	14.32591809
2	13.94982093
3	13.58162474
4	13.26485081
5	12.97578244
6	12.67357724
7	12.39671096
8	12.1007846
9	11.809877
10	11.51955642
11	11.27530746
12	11.02889405
13	10.79705443
14	10.56858189
15	10.32309533
16	10.11359627
17	9.909004873
18	9.70115871
19	9.507740554
20	9.340395221
21	9.202542142
22	9.039406314
23	8.872872277
24	8.712648995
25	8.574688697
26	8.427341565
27	8.306725147
28	8.182145002
29	8.058318506
30	7.958017406
31	7.82960905
32	7.720041775
33	7.624183764
34	7.510611356
35	7.414148493
36	7.319944635
37	7.228320536
38	7.13964559
39	7.065117804
40	6.993833427
41	6.922212571
42	6.854893182
43	6.793557711
44	6.734051823
45	6.673202404
46	6.60712795
47	6.548742757
48	6.492254419
49	6.4334801
50	6.379403157
51	6.328803402
52	6.283549997
53	6.238933142
54	6.191360395
55	6.151528932
56	6.10896197
57	6.075216976
58	6.036602607
59	6.007016596
60	5.977284787
61	5.947973604
62	5.920655183
63	5.888778111
64	5.862227682
65	5.837191105
66	5.807217509
67	5.778954082
68	5.754701473
69	5.729629509
70	5.705170849
71	5.681879593
72	5.661375976
73	5.63936531
74	5.620707732
75	5.601203643
76	5.586284633
77	5.564481992
78	5.545633723
79	5.52908136
80	5.515870946
81	5.501235175
82	5.485056821
83	5.473887526
84	5.458113904
85	5.446291356
86	5.433936978
87	5.424780559
88	5.411845756
89	5.394523221
90	5.381686488
91	5.371295539
92	5.358879009
93	5.349517581
94	5.339825443
95	5.331769183
96	5.322637689
97	5.315915868
98	5.307462201
99	5.297943706
100	5.288820985
101	5.279341806
102	5.277150646
103	5.268032085
104	5.260860379
105	5.254335183
106	5.243803957
107	5.237910343
108	5.230838169
109	5.223012082
110	5.2141001
111	5.205845009
112	5.195021997
113	5.186030789
114	5.17883428
115	5.176105867
116	5.165912136
117	5.160361743
118	5.154727053
119	5.149626702
120	5.143235194
121	5.14152931
122	5.13385771
123	5.128874445
124	5.123013477
125	5.116531162
126	5.112673843
127	5.10656928
128	5.101454144
129	5.096847492
130	5.089162513
131	5.084140265
132	5.078668781
133	5.072014462
134	5.066928095
135	5.059762648
136	5.057153268
137	5.049518605
138	5.043631856
139	5.039680021
140	5.03912263
141	5.032834532
142	5.027314189
143	5.024213148
144	5.016443151
145	5.013755089
146	5.009306503
147	5.005128423
148	5.001010174
149	4.997689181
150	4.994466189
151	4.991721245
152	4.985936212
153	4.983295466
154	4.979134312
155	4.974520305
156	4.971169801
157	4.967394013
158	4.965317254
159	4.962483693
160	4.959883767
161	4.955761977
162	4.951005091
163	4.947337172
164	4.945426582
165	4.942528436
166	4.938665869
167	4.935090413
168	4.931593222
