iter	RMSE
169	4.924174438
170	4.920402441
171	4.917923108
172	4.912539234
173	4.908383871
174	4.904522084
175	4.902367544
176	4.897382823
177	4.895466538
178	4.891643307
179	4.888639487
180	4.883859442
181	4.878156663
182	4.873115797
183	4.870146335
184	4.869184988
185	4.866302162
186	4.863215375
187	4.859496182
188	4.854438245
189	4.851916253
190	4.849167721
191	4.844875414
192	4.84175078
193	4.836949223
194	4.834867698
195	4.832627503
196	4.827474276
197	4.822729905
198	4.817466139
199	4.814201342
200	4.808885229
201	4.805688082
202	4.801555595
203	4.800113407
204	4.798269193
205	4.794825882
206	4.792401068
207	4.786200678
208	4.78425163
209	4.781081581
210	4.777999222
211	4.774594005
212	4.769841996
213	4.765234217
214	4.759990352
215	4.75809287
216	4.755335938
217	4.751992868
218	4.75042975
219	4.745536529
220	4.744479258
221	4.741447526
222	4.740202404
223	4.736572691
224	4.733712281
225	4.729255611
226	4.725130843
227	4.7230373
228	4.717169019
229	4.715469358
230	4.710802422
231	4.7071427
232	4.703734082
233	4.701712173
234	4.700057933
235	4.698705569
236	4.696483326
237	4.692041787
238	4.68894823
239	4.68580866
240	4.682460908
241	4.679394472
242	4.672543503
243	4.669428325
244	4.663672753
245	4.658220665
246	4.655042512
247	4.653545205
248	4.649552732
249	4.643791233
250	4.642085995
251	4.636612904
252	4.635091604
253	4.634301306
254	4.630243631
255	4.627173991
256	4.621789326
257	4.618018291
258	4.616293749
259	4.611914174
260	4.605803169
261	4.600793301
262	4.59674381
263	4.595480495
264	4.592123206
265	4.589791222
266	4.585913739
267	4.580181889
268	4.5765136
269	4.572495123
270	4.568190031
271	4.567176605
272	4.565280855
273	4.559738754
274	4.555880863
275	4.551770176
276	4.546869958
277	4.545729358
278	4.537488137
279	4.534245172
280	4.531539151
281	4.528154374
282	4.522800537
283	4.518922483
284	4.513196062
285	4.509121573
286	4.50743371
287	4.499656922
288	4.493938764
289	4.489726384
290	4.485717268
291	4.485009288
292	4.481550501
293	4.479619343
294	4.476271563
295	4.471450036
296	4.466761964
297	4.462397492
298	4.459854725
299	4.456483763
300	4.45397952
301	4.452931357
302	4.449966768
303	4.449190285
304	4.448581663
305	4.445010819
306	4.440024447
307	4.43929688
308	4.436703224
309	4.434303723
310	4.432580109
311	4.426099464
312	4.419067778
313	4.417422774
314	4.414018838
315	4.411072584
316	4.408372358
317	4.404712688
318	4.401942187
319	4.399106617
320	4.395864407
321	4.395266449
322	4.393997279
323	4.391280522
324	4.389979269
325	4.38449148
326	4.382282208
327	4.379518679
328	4.375706278
329	4.371267827
330	4.367540735
331	4.365680461
332	4.361519916
333	4.358638987
334	4.35679211
335	4.354987459
336	4.350072384
337	4.347756111
338	4.34301954
339	4.338328008
340	4.335792136
341	4.335219194
342	4.331115945
343	4.329678166
344	4.328018165
345	4.324346914
346	4.319801705
347	4.316955259
348	4.314343191
349	4.310211777
350	4.306516011
351	4.300164946
352	4.295534996
353	4.289270123
354	4.287682429
355	4.284927057
356	4.281758864
357	4.279996043
358	4.27707063
359	4.275536155
360	4.269406588
361	4.266922972
362	4.261930069
363	4.257185679
364	4.255045978
365	4.250919775
366	4.245539923
367	4.241899648
368	4.236206113
369	4.230575782
370	4.227584824
371	4.223168502
372	4.221232056
373	4.217574208
374	4.215287671
375	4.210165367
376	4.209157866
377	4.203871076
378	4.198996509
379	4.194960876
380	4.193724189
381	4.191581428
382	4.188415217
383	4.185483654
384	4.182036215
385	4.179335956
386	4.175390269
387	4.171429685
388	4.170452935
389	4.167482129
390	4.164557503
391	4.158979367
392	4.15486407
393	4.154392796
394	4.152466077
395	4.151013068
396	4.148018633
397	4.144794939
398	4.144298609
399	4.143923408
400	4.142914983
401	4.137421201
402	4.133533879
403	4.129072364
404	4.126937627
405	4.122130853
406	4.117244263
407	4.114533222
408	4.113064599
409	4.111046282
410	4.108520325
411	4.107028338
412	4.105183714
413	4.103644106
414	4.102084072
415	4.101430167
416	4.100502965
417	4.098498423
418	4.094663047
419	4.091452652
420	4.088311047
421	4.085247908
422	4.083296473
423	4.079294093
424	4.076794552
425	4.074174826
426	4.070151133
427	4.067793714
428	4.065357931
429	4.060079774
430	4.057014409
431	4.051967985
432	4.047800008
433	4.045463364
434	4.043789248
435	4.038626389
436	4.035615666
437	4.031765026
438	4.029866438
439	4.023862383
440	4.018953891
441	4.015291591
442	4.011882648
443	4.010644155
444	4.007583638
445	4.003881731
446	4.001505113
447	4.000328798
448	3.99897105
449	3.994964149
450	3.990975561
451	3.986193818
452	3.981762789
453	3.977306525
454	3.975746248
455	3.97257989
456	3.971273915
457	3.969094873
458	3.965965139
459	3.964183306
460	3.963459973
461	3.959681119
462	3.95679535
463	3.95189003
464	3.948593952
465	3.94594872
466	3.943752005
467	3.940126823
468	3.939432169
469	3.935686154
470	3.934409305
471	3.931347823
472	3.930869257
473	3.927132819
474	3.9228627
475	3.922483021
476	3.918857499
477	3.916685358
478	3.913142414
479	3.909035236
480	3.907300496
481	3.90434366
482	3.901672106
483	3.898798199
484	3.897699498
485	3.894965246
486	3.894402276
487	3.893746035
488	3.889595798
489	3.887083764
490	3.885563731
491	3.883242416
492	3.881792141
493	3.876751066
494	3.873002702
495	3.869950185
496	3.869399661
497	3.866091996
498	3.865432364
499	3.860821007
500	3.858690041
501	3.854709576
502	3.853700783
503	3.850347764
504	3.846977191
505	3.845380205
506	3.840102404
507	3.83669621
508	3.834575226
509	3.830694848
510	3.827670304
511	3.826658369
512	3.823795465
513	3.819934792
514	3.817790316
515	3.815597978
516	3.813579063
517	3.811825772
518	3.810889207
519	3.807920112
520	3.804614453
521	3.802392978
522	3.802088422
523	3.798469927
524	3.795027199
525	3.793747271
526	3.791296965
527	3.788639781
528	3.784756548
529	3.782665391
530	3.78228842
531	3.779718778
532	3.777619187
533	3.773268339
534	3.768553916
535	3.767297198
536	3.764023229
537	3.761850344
538	3.756868698
539	3.753931358
540	3.75139216
541	3.750001978
542	3.747634929
543	3.744461815
544	3.741839205
545	3.738541533
546	3.736670793
547	3.735748102
548	3.73279495
549	3.731142577
550	3.728880681
551	3.726401068
552	3.723930286
553	3.721922629
554	3.719885313
555	3.717076493
556	3.713671873
557	3.713305065
558	3.710818177
559	3.707514846
560	3.706949205
561	3.703892415
562	3.701253344
563	3.700046129
564	3.699747798
565	3.697922131
566	3.695667439
567	3.694857466
568	3.692001359
569	3.688742901
570	3.688335124
571	3.687249871
572	3.68477734
573	3.680339857
574	3.679430357
575	3.676641342
576	3.67235729
577	3.670153842
578	3.667158282
579	3.663941393
580	3.660477601
581	3.658349235
582	3.656635649
583	3.652559623
584	3.650621674
585	3.646989887
586	3.645279848
587	3.64222956
588	3.637893109
589	3.63558572
590	3.634897678
591	3.631279399
592	3.628653815
593	3.624558544
594	3.622261347
595	3.620057634
596	3.618746754
597	3.615559174
598	3.613857495
599	3.61162195
600	3.609427299
601	3.606902286
602	3.603013616
603	3.600211811
604	3.595376559
605	3.592618222
606	3.591841597
607	3.590040995
608	3.589407263
609	3.588560694
610	3.584065179
611	3.581510376
612	3.58032876
613	3.577488234
614	3.577153542
615	3.573678665
616	3.572215231
617	3.570592284
618	3.569336669
619	3.567910697
620	3.565037747
621	3.562990995
622	3.559998833
623	3.55810853
624	3.554598352
625	3.55060686
626	3.548415929
627	3.545092315
628	3.541383798
629	3.540887536
630	3.538673001
631	3.534740204
632	3.532957562
633	3.530825939
634	3.529672877
635	3.527876916
636	3.527395301
637	3.523576555
638	3.52278248
639	3.520563296
640	3.519540497
641	3.51801317
642	3.515046772
643	3.511864235
644	3.508118802
645	3.505766991
646	3.502203774
647	3.499714651
648	3.496965047
649	3.496654035
650	3.494299827
651	3.491798236
652	3.487416567
653	3.485190229
654	3.483474727
655	3.481808641
656	3.479475675
657	3.475805186
658	3.472995239
659	3.4717565
660	3.468275839
661	3.465175793
662	3.461784287
663	3.45940543
664	3.457462685
665	3.455909982
666	3.452710543
667	3.450516607
668	3.447726974
669	3.445965218
670	3.44300078
671	3.440584364
672	3.438487365
673	3.43709596
674	3.433784907
675	3.431491003
676	3.427727561
677	3.424113028
678	3.422380127
679	3.41971851
680	3.419395332
681	3.418228259
682	3.414426445
683	3.41347257
684	3.411245571
685	3.408930406
686	3.40810587
687	3.40697853
688	3.406557545
689	3.402912179
690	3.401431348
691	3.400141706
692	3.398015797
693	3.397345507
694	3.395283452
695	3.39331391
696	3.391285453
697	3.389302114
698	3.387331839
699	3.385844372
700	3.383841214
701	3.381295368
702	3.378766783
703	3.376781071
704	3.373331876
705	3.371996142
706	3.371632971
707	3.370575574
708	3.368332424
709	3.367328452
710	3.366870843
711	3.364164989
712	3.362331687
713	3.361842033
714	3.358266928
715	3.356116484
716	3.352274898
717	3.34998118
718	3.346712853
719	3.34323865
720	3.341347459
721	3.338711469
722	3.336840958
723	3.335325445
724	3.332579983
725	3.32987342
726	3.328964189
727	3.325738596
728	3.324512873
729	3.323921628
730	3.320092139
731	3.318208319
732	3.317937414
733	3.315638815
734	3.313522865
735	3.311587525
736	3.310633255
737	3.309634031
738	3.307934878
739	3.306161097
740	3.303895371
741	3.30358626
742	3.301825417
743	3.300844352
744	3.300579359
745	3.298585422
746	3.297101755
747	3.2957328
748	3.294171327
749	3.289856639
750	3.287949595
751	3.286055104
752	3.282898917
753	3.280864142
754	3.280293889
755	3.278900806
756	3.278587176
757	3.276717681
758	3.27530132
759	3.273683063
760	3.271479048
761	3.271261254
762	3.270198539
763	3.267985198
764	3.265338231
765	3.26261351
766	3.260710928
767	3.259343543
768	3.257064619
769	3.254629421
770	3.253280158
771	3.252902512
772	3.251148155
773	3.250113047
774	3.249860304
775	3.24683939
776	3.245750638
777	3.244319383
778	3.242741484
779	3.240183027
780	3.239353989
781	3.238292936
782	3.236598319
783	3.236346395
784	3.234570212
785	3.232556349
786	3.230642664
787	3.2277567
788	3.225453398
789	3.221629025
790	3.218538354
791	3.215965539
792	3.214365277
793	3.211368106
794	3.208838824
795	3.206084051
796	3.204892076
797	3.203212051
798	3.201271455
799	3.200045193
800	3.197987793
801	3.197863657
802	3.196816281
803	3.195550476
804	3.19395449
805	3.191783019
806	3.189185968
807	3.186885814
808	3.184093884
809	3.1825162
810	3.180112814
811	3.179217598
812	3.176189384
813	3.175929508
814	3.174524515
815	3.174105849
816	3.172482651
817	3.170763555
818	3.169626751
819	3.169395794
820	3.168713954
821	3.16716083
822	3.165506379
823	3.165329554
824	3.16269061
825	3.161246176
826	3.158787501
827	3.156623793
828	3.15474434
829	3.152629688
830	3.150051566
831	3.148709955
832	3.147830241
833	3.145378607
834	3.142504625
835	3.142234318
836	3.142018573
837	3.141370458
838	3.138937578
839	3.137160246
840	3.134505275
841	3.133215191
842	3.131426763
843	3.128577775
844	3.124694899
845	3.123396678
846	3.121240387
847	3.121032736
848	3.118449366
849	3.117467279
850	3.117012291
851	3.116075443
852	3.11187866
853	3.110170427
854	3.10739938
855	3.106131655
856	3.105953072
857	3.104723043
858	3.1029946
859	3.10169814
860	3.101540926
861	3.099147493
862	3.097636114
863	3.09541956
864	3.093895879
865	3.090978313
866	3.090017355
867	3.087065508
868	3.085956231
869	3.0846655
870	3.083211804
871	3.082133569
872	3.081518412
873	3.080159614
874	3.078964774
875	3.076247923
876	3.073501119
877	3.072134259
878	3.069404127
879	3.068065939
880	3.066656797
881	3.064070612
882	3.06147245
883	3.060336384
884	3.055529665
885	3.053392529
886	3.050916472
887	3.047688383
888	3.046804342
889	3.045993467
890	3.045012459
891	3.043123723
892	3.042804525
893	3.041396895
894	3.039987525
895	3.039275597
896	3.038925523
897	3.035514239
898	3.033611445
899	3.032673936
900	3.030319597
901	3.029640526
902	3.028760599
903	3.027301966
904	3.024981613
905	3.022918812
906	3.02200758
907	3.021455985
908	3.01758912
909	3.017377345
910	3.016821605
911	3.014656476
912	3.013697984
913	3.011901665
914	3.010837874
915	3.009803812
916	3.008094952
917	3.005880388
918	3.004765906
919	3.00468489
920	3.002639416
921	3.001471727
922	3.001251969
923	3.000920321
924	2.999149783
925	2.998175311
926	2.995536422
927	2.993626762
928	2.99163813
929	2.989589396
930	2.988310686
931	2.987448035
932	2.984692037
933	2.983239256
934	2.9807072
935	2.978355047
936	2.974954089
937	2.972566177
938	2.971400767
939	2.968500813
940	2.967737588
941	2.967282655
942	2.966049929
943	2.965181505
944	2.963703082
945	2.962207559
946	2.960063385
947	2.959829764
948	2.958539874
949	2.958290602
950	2.958090908
951	2.957123291
952	2.955827756
953	2.953863293
954	2.952394178
955	2.952125246
956	2.951144192
957	2.948523058
958	2.947495271
959	2.947169121
960	2.946168162
961	2.945897066
962	2.944116998
963	2.943516877
964	2.942153647
965	2.941930918
966	2.941717465
967	2.93991273
968	2.937669315
969	2.935843412
970	2.934362735
971	2.934114422
972	2.929997318
973	2.929754931
974	2.92760807
975	2.92621947
976	2.924682952
977	2.923648316
978	2.921687039
979	2.917605731
980	2.9155262
981	2.914673667
982	2.912271985
983	2.909371629
984	2.907406355
985	2.904226803
986	2.902090919
987	2.901547913
988	2.901352988
989	2.899606668
990	2.897159824
991	2.8956863
992	2.894351641
993	2.893926623
994	2.892240232
995	2.891340372
996	2.889252624
997	2.888854794
998	2.886305213
999	2.884932494
